data_label,en_name,unit,station0,station1,station2,station3,label0,label1,label2,label3
datetime,datetime,,1,1,1,1,datetime,datetime,datetime,datetime
日期,date,,0,0,0,0,日期,日期,日期,日期
时间,time,,0,0,0,0,时间,时间,时间,时间
PM10,PM10,μg/cm3,1,0,1,1,PM10,,PM10,PM10
PM2.5,PM2.5,μg/cm3,1,0,1,1,PM2.5,,PM2.5,PM2.5
SO2,SO2,ppb,1,0,1,1,SO2,,SO2,SO2
NOX,NOX,ppb,1,0,1,1,NOX,,NOX,NOX
NO,NO,ppb,1,0,1,1,NO,,NO,NO
CO,CO,ppb,1,0,1,1,CO,,CO,CO
O3,O3,ppb,1,0,1,1,O3,,O3,O3
站房内温度,temperature (station),℃,1,0,1,0,站房内温度,,站房内温度,
站房内湿度,humidity (station),%,1,0,1,0,站房内湿度,,站房内湿度,
总辐射,radiation (total),W/cm2,1,0,0,0,总辐射,,,
净辐射,radiation (net),W/cm2,1,0,0,0,净辐射,,,
紫外辐射,radiation (UV),W/cm2,1,0,0,0,紫外辐射,,,
光合有效,PAR,W/cm2,1,0,0,0,光合有效,,,
日照,sunlight hours,h,1,0,0,0,日照,,,
日照累计,sunlight hours (accumulated),h,1,0,0,0,日照累计,,,
蒸发,evaporation,mm,1,0,1,0,蒸发,,蒸发,
蒸发水位,evaporation (water level),mm,0,0,1,0,,,蒸发水位,
风向,wind direction,°,1,0,0,0,风向,,,
风速,wind speed,m/s,1,0,0,0,风速,,,
X轴风速,wind speed (x),m/s,0,1,1,0,,X轴风速,X轴风速,
Y轴风速,wind speed (y),m/s,0,1,1,0,,Y轴风速,Y轴风速,
Z轴风速,wind speed (z),m/s,0,1,1,0,,Z轴风速,Z轴风速,
CO2,CO2,mg/m3,0,1,1,0,,CO2,CO2,
H2O,H2O,g/m3,0,1,1,0,,H2O,H2O,
温度,temperature,℃,1,-1,1,0,温度,温度,温度,
雨量,rainfall,mm,1,0,0,0,雨量,,,
湿度,humidity,%,1,-1,1,0,湿度,湿度,湿度,
水气压,water vapor pressure,kpa,0,1,1,0,,水气压,水气压,
气压,atmospheric pressure,hPa,1,0,0,1,气压,,,PRES
负氧离子,NAI,个/cm3,0,0,0,1,,,,-OICON
闪烁值,scintillation value,,0,1,0,0,,闪烁值,,
信号强度值,signal strength value,,0,1,0,0,,信号强度值,,
PUCN2,PUCN2,,0,1,0,0,,PUCN2,,
第一棵树A,tree 1a,mV,0,1,1,0,,第一棵树A,第一棵树A,
第一棵树B,tree 1b,mV,0,1,1,0,,第一棵树B,第一棵树B,
第一棵树C,tree 1c,mV,0,1,1,0,,第一棵树C,第一棵树C,
第二棵树A,tree 2a,mV,0,1,1,0,,第二棵树A,第二棵树A,
第二棵树B,tree 2b,mV,0,1,1,0,,第二棵树B,第二棵树B,
第二棵树C,tree 2c,mV,0,1,1,0,,第二棵树C,第二棵树C,
第三棵树A,tree 3a,mV,0,1,1,0,,第三棵树A,第三棵树A,
第三棵树B,tree 3b,mV,0,1,1,0,,第三棵树B,第三棵树B,
